,subj,sess,trial,time_penalty,gameState,start_time,stop_time,time_bin,time_step,maze_region,head_direc,is_moving,base_in_view,gold_in_view,gold_in_view_ids,dig_performed,dig_success,all_digs,dig_ids,dig_dists
174,U554,ses0,1,0,Retrieval,820214,820714,55,10,NW Hall,S,1,0,1.0,"['citrineGeo0000', 'saphireTeardrop0001']",0.0,,,,
175,U554,ses0,1,0,Retrieval,820714,821214,56,10,NW Hall,S,1,0,1.0,"['citrineGeo0000', 'saphireTeardrop0001']",0.0,,,,
176,U554,ses0,1,0,Retrieval,821214,821714,57,10,NW Hall,S,1,0,1.0,"['citrineGeo0000', 'saphireTeardrop0001']",0.0,,,,
177,U554,ses0,1,0,Retrieval,821714,822214,58,10,NW Hall,SE,1,0,1.0,"['citrineGeo0000', 'saphireTeardrop0001']",0.0,,,,
178,U554,ses0,1,0,Retrieval,822214,822714,59,10,NW Hall,SE,1,0,1.0,"['citrineGeo0000', 'saphireTeardrop0001']",0.0,,,,
179,U554,ses0,1,0,ReturnToBase2,822730,823230,0,1,NW Hall,SE,1,0,1.0,['citrineGeo0000'],,,,,
180,U554,ses0,1,0,ReturnToBase2,823230,823730,1,1,NW Room,SE,1,0,1.0,['citrineGeo0000'],,,,,
181,U554,ses0,1,0,ReturnToBase2,823730,824230,2,2,NW Room,SE,1,0,1.0,['citrineGeo0000'],,,,,
182,U554,ses0,1,0,ReturnToBase2,824230,824730,3,2,NW Room,SE,1,0,1.0,['citrineGeo0000'],,,,,
183,U554,ses0,1,0,ReturnToBase2,824730,825230,4,3,NW Room,SE,1,0,1.0,['citrineGeo0000'],,,,,
184,U554,ses0,1,0,ReturnToBase2,825230,825730,5,3,NW Room,SE,1,0,1.0,['citrineGeo0000'],,,,,
185,U554,ses0,1,0,ReturnToBase2,825730,826230,6,4,NW Room,S,1,0,0.0,,,,,,
186,U554,ses0,1,0,ReturnToBase2,826230,826730,7,4,NW Room,SE,1,0,0.0,,,,,,
187,U554,ses0,1,0,ReturnToBase2,826730,827230,8,5,C Hall,SE,1,0,0.0,,,,,,
188,U554,ses0,1,0,ReturnToBase2,827230,827730,9,5,C Hall,SE,1,1,0.0,,,,,,
189,U554,ses0,1,0,ReturnToBase2,827730,828230,10,6,C Hall,S,1,1,0.0,,,,,,
190,U554,ses0,1,0,ReturnToBase2,828230,828730,11,6,S Passage,S,1,1,0.0,,,,,,
191,U554,ses0,1,0,ReturnToBase2,828730,829230,12,7,S Passage,S,1,1,0.0,,,,,,
192,U554,ses0,2,0,Delay1,831580,832080,0,1,Base,N,0,1,,,,,,,
193,U554,ses0,2,0,Delay1,832080,832580,1,1,Base,N,0,1,,,,,,,
194,U554,ses0,2,0,Delay1,832580,833080,2,2,Base,N,0,1,,,,,,,
195,U554,ses0,2,0,Delay1,833080,833580,3,2,Base,N,0,1,,,,,,,
196,U554,ses0,2,0,Delay1,833580,834080,4,3,Base,N,0,1,,,,,,,
